# Date:     2026-03-27 03:15:44
# Database: ocvs
# Target:   lmc_ecl
# Query:    TRUE  LIMIT 50000
# Objects:  40204
# Columns:
ID	Type	I	P
OGLE-LMC-ECL-08323	NC	19.811	1.84652180
OGLE-LMC-ECL-08324	NC	15.358	34.95907050
OGLE-LMC-ECL-08325	NC	19.558	2.75842050
OGLE-LMC-ECL-08326	NC	19.291	1.04843760
OGLE-LMC-ECL-08327	NC	18.992	4.38246050
OGLE-LMC-ECL-08328	NC	17.662	4.57199590
OGLE-LMC-ECL-08329	NC	18.405	5.88676150
OGLE-LMC-ECL-08330	NC	19.603	13.72149290
OGLE-LMC-ECL-08331	NC	18.193	54.01775080
OGLE-LMC-ECL-08332	NC	19.212	2.70846860
OGLE-LMC-ECL-08333	NC	17.703	8.76436500
OGLE-LMC-ECL-08334	NC	19.860	3.92871870
OGLE-LMC-ECL-08335	NC	18.929	1.29109930
OGLE-LMC-ECL-08336	NC	18.282	2.22195430
OGLE-LMC-ECL-08337	NC	19.049	3.68529400
OGLE-LMC-ECL-08338	C	15.305	1.27747140
OGLE-LMC-ECL-08339	NC	17.656	33.86810090
OGLE-LMC-ECL-08340	NC	19.485	3.38577040
OGLE-LMC-ECL-08341	NC	19.888	1.19284750
OGLE-LMC-ECL-08342	NC	18.939	9.39360030
OGLE-LMC-ECL-08343	NC	18.467	0.94116410
OGLE-LMC-ECL-08344	NC	17.472	55.42490080
OGLE-LMC-ECL-08345	NC	19.663	3.14196030
OGLE-LMC-ECL-08346	NC	18.153	1.45760520
OGLE-LMC-ECL-08347	NC	13.766	35.45767080
OGLE-LMC-ECL-08348	NC	17.017	1.11658980
OGLE-LMC-ECL-08349	NC	18.988	3.45342320
OGLE-LMC-ECL-08350	NC	19.098	2.29910000
OGLE-LMC-ECL-08351	NC	17.898	1.40008430
OGLE-LMC-ECL-08352	NC	16.065	2.69287400
OGLE-LMC-ECL-08353	NC	19.371	3.42681020
OGLE-LMC-ECL-08354	NC	19.316	4.46571700
OGLE-LMC-ECL-08355	NC	18.880	3.32121620
OGLE-LMC-ECL-08356	NC	16.854	1.06739090
OGLE-LMC-ECL-08357	NC	19.417	0.80957710
OGLE-LMC-ECL-08358	NC	17.511	2.73480050
OGLE-LMC-ECL-08359	NC	18.526	7.87413040
OGLE-LMC-ECL-08360	NC	17.733	2.15139480
OGLE-LMC-ECL-08361	NC	18.652	2.39279710
OGLE-LMC-ECL-08362	NC	19.317	7.66016060
OGLE-LMC-ECL-08363	NC	16.994	9.10605050
OGLE-LMC-ECL-08364	NC	17.138	44.39591040
OGLE-LMC-ECL-08365	NC	19.182	4.27343290
OGLE-LMC-ECL-08366	NC	16.611	109.97619020
OGLE-LMC-ECL-08367	NC	18.079	4.72343960
OGLE-LMC-ECL-08368	NC	18.381	2.53912850
OGLE-LMC-ECL-08369	NC	19.874	1.07749750
OGLE-LMC-ECL-08370	NC	17.852	2.91416580
OGLE-LMC-ECL-08371	NC	18.644	5.04593920
OGLE-LMC-ECL-08372	NC	19.393	7.07139060
OGLE-LMC-ECL-08373	NC	19.636	2.16742780
OGLE-LMC-ECL-08374	NC	19.922	1.77021810
OGLE-LMC-ECL-08375	NC	18.832	5.50371900
OGLE-LMC-ECL-08376	NC	17.277	36.91360460
OGLE-LMC-ECL-08377	NC	17.209	1.60694090
OGLE-LMC-ECL-08378	NC	19.013	2.17802770
OGLE-LMC-ECL-08379	NC	19.797	1.62936930
OGLE-LMC-ECL-08380	NC	17.675	212.79244100
OGLE-LMC-ECL-08381	NC	17.819	3.73781460
OGLE-LMC-ECL-08382	NC	16.322	1.90821800
OGLE-LMC-ECL-08383	NC	18.383	0.94137620
OGLE-LMC-ECL-08384	NC	16.459	4.53148560
OGLE-LMC-ECL-08385	NC	17.332	9.98010870
OGLE-LMC-ECL-08386	NC	19.322	10.50882040
OGLE-LMC-ECL-08387	NC	18.099	1.43136490
OGLE-LMC-ECL-08388	NC	18.820	1.00852340
OGLE-LMC-ECL-08389	NC	19.428	2.10484000
OGLE-LMC-ECL-08390	NC	17.767	16.58908860
OGLE-LMC-ECL-08391	NC	17.569	5.23556550
OGLE-LMC-ECL-08392	NC	19.006	1.98379800
OGLE-LMC-ECL-08393	NC	19.162	5.30740790
OGLE-LMC-ECL-08394	NC	18.694	1.62146570
OGLE-LMC-ECL-08395	NC	19.049	1.55562530
OGLE-LMC-ECL-08396	NC	19.118	7.38408020
OGLE-LMC-ECL-08397	NC	14.664	3.13185090
OGLE-LMC-ECL-08398	NC	17.998	1.02767820
OGLE-LMC-ECL-08399	NC	17.708	11.22680150
OGLE-LMC-ECL-08400	NC	16.869	3.40492550
OGLE-LMC-ECL-08401	NC	18.992	4.46683090
OGLE-LMC-ECL-08402	NC	16.672	189.52588080
OGLE-LMC-ECL-08403	NC	19.139	7.23421820
OGLE-LMC-ECL-08404	NC	19.512	1.50967170
OGLE-LMC-ECL-08405	NC	19.864	2.09988400
OGLE-LMC-ECL-08406	NC	17.854	14.43275070
OGLE-LMC-ECL-08407	NC	18.270	9.53731540
OGLE-LMC-ECL-08408	NC	18.958	2.32833470
OGLE-LMC-ECL-08409	NC	16.343	3.89389990
OGLE-LMC-ECL-08410	NC	16.037	17.91717260
OGLE-LMC-ECL-08411	NC	19.109	31.38450040
OGLE-LMC-ECL-08412	NC	16.008	3.60593570
OGLE-LMC-ECL-08413	NC	15.650	207.87255370
OGLE-LMC-ECL-08414	C	19.054	61.16119300
OGLE-LMC-ECL-08415	NC	19.711	1.26774200
OGLE-LMC-ECL-08416	NC	17.223	1.22647020
OGLE-LMC-ECL-08417	NC	19.874	2.98271920
OGLE-LMC-ECL-08418	NC	17.895	5.31717740
OGLE-LMC-ECL-08419	NC	18.104	1.48281520
OGLE-LMC-ECL-08420	NC	16.557	3.03420120
OGLE-LMC-ECL-08421	NC	17.967	2.96967960
OGLE-LMC-ECL-08422	NC	17.819	1.98484100
OGLE-LMC-ECL-08423	NC	17.689	42.60747580
OGLE-LMC-ECL-08424	NC	19.419	2.27598090
OGLE-LMC-ECL-08425	NC	17.889	2.62332750
OGLE-LMC-ECL-08426	NC	18.501	1.01245700
OGLE-LMC-ECL-08427	NC	15.427	1.33417240
OGLE-LMC-ECL-08428	NC	19.556	1.34586030
OGLE-LMC-ECL-08429	NC	20.125	8.15728250
OGLE-LMC-ECL-08430	NC	18.288	1.12808810
OGLE-LMC-ECL-08431	NC	19.043	4.72528560
OGLE-LMC-ECL-08432	NC	18.514	19.95392010
OGLE-LMC-ECL-08433	NC	16.377	5.53432290
OGLE-LMC-ECL-08434	NC	16.949	21.45130110
OGLE-LMC-ECL-08435	NC	18.775	12.63761070
OGLE-LMC-ECL-08436	NC	19.459	1.06689050
OGLE-LMC-ECL-08437	NC	19.141	5.85090970
OGLE-LMC-ECL-08438	NC	18.080	3.63115460
OGLE-LMC-ECL-08439	NC	16.970	2.04885320
OGLE-LMC-ECL-08440	NC	18.755	1.90417210
OGLE-LMC-ECL-08441	NC	19.004	20.92664080
OGLE-LMC-ECL-08442	NC	19.692	1.33465910
OGLE-LMC-ECL-08443	NC	17.273	7.62763110
OGLE-LMC-ECL-08444	NC	18.898	3.60380270
OGLE-LMC-ECL-08445	NC	16.479	118.95314770
OGLE-LMC-ECL-08446	NC	15.566	466.99056700
OGLE-LMC-ECL-08447	NC	17.902	81.25513060
OGLE-LMC-ECL-08448	NC	17.136	40.97746030
OGLE-LMC-ECL-08449	NC	18.047	2.56071070
OGLE-LMC-ECL-08450	NC	18.759	2.76001360
OGLE-LMC-ECL-08451	NC	18.144	1.92753100
OGLE-LMC-ECL-08452	NC	17.787	27.57145110
OGLE-LMC-ECL-08453	NC	19.394	4.34265570
OGLE-LMC-ECL-08454	NC	18.342	8.03029010
OGLE-LMC-ECL-08455	NC	17.839	1.49490010
OGLE-LMC-ECL-08456	NC	18.353	1.26510410
OGLE-LMC-ECL-08457	NC	15.994	139.20773080
OGLE-LMC-ECL-08458	NC	19.308	2.17821400
OGLE-LMC-ECL-08459	NC	17.562	1.24631630
OGLE-LMC-ECL-08460	NC	18.115	14.47876320
OGLE-LMC-ECL-08461	NC	19.453	0.88561600
OGLE-LMC-ECL-08462	NC	19.687	2.47676890
OGLE-LMC-ECL-08463	NC	16.452	458.71173040
OGLE-LMC-ECL-08464	NC	18.512	12.78308030
OGLE-LMC-ECL-08465	NC	18.829	1.87263110
OGLE-LMC-ECL-08466	NC	19.113	1.38758930
OGLE-LMC-ECL-08467	NC	19.412	8.90048900
OGLE-LMC-ECL-08468	NC	19.183	2.55181300
OGLE-LMC-ECL-08469	NC	16.635	6.45953870
OGLE-LMC-ECL-08470	NC	18.118	7.98357810
OGLE-LMC-ECL-08471	NC	19.230	2.98385080
OGLE-LMC-ECL-08472	NC	19.232	3.50339370
OGLE-LMC-ECL-08473	NC	16.374	179.00197030
OGLE-LMC-ECL-08474	NC	19.544	1.40855970
OGLE-LMC-ECL-08475	NC	17.835	2.33633540
OGLE-LMC-ECL-08476	NC	19.598	1.75934910
OGLE-LMC-ECL-08477	NC	16.834	32.35942910
OGLE-LMC-ECL-08478	NC	19.630	1.97629010
OGLE-LMC-ECL-08479	NC	19.095	2.63163730
OGLE-LMC-ECL-08480	NC	16.530	1.17451350
OGLE-LMC-ECL-08481	NC	17.962	2.56981080
OGLE-LMC-ECL-08482	NC	16.151	4.51238110
OGLE-LMC-ECL-08483	NC	18.886	1.07621920
OGLE-LMC-ECL-08484	NC	18.642	7.89151680
OGLE-LMC-ECL-08485	NC	17.799	1.08687380
OGLE-LMC-ECL-08486	NC	19.276	8.72836460
OGLE-LMC-ECL-08487	NC	18.745	9.14550350
OGLE-LMC-ECL-08488	NC	17.059	6.97731100
OGLE-LMC-ECL-08489	NC	18.369	2.01852200
OGLE-LMC-ECL-08490	NC	18.981	1.79914740
OGLE-LMC-ECL-08491	NC	14.932	0.34718420
OGLE-LMC-ECL-08492	NC	17.288	2.39381830
OGLE-LMC-ECL-08493	NC	19.560	5.96138130
OGLE-LMC-ECL-08494	NC	17.206	5.70373290
OGLE-LMC-ECL-08495	NC	16.793	1.69279600
OGLE-LMC-ECL-08496	NC	18.616	3.40478990
OGLE-LMC-ECL-08497	NC	18.424	1.17527700
OGLE-LMC-ECL-08498	NC	19.824	1.71771570
OGLE-LMC-ECL-08499	NC	18.512	18.94499320
OGLE-LMC-ECL-08500	C	13.576	3.61649490
OGLE-LMC-ECL-08501	NC	18.821	26.96756850
OGLE-LMC-ECL-08502	NC	19.687	0.99086050
OGLE-LMC-ECL-08503	NC	18.784	6.28282080
OGLE-LMC-ECL-08504	NC	18.007	3.39592760
OGLE-LMC-ECL-08505	NC	18.420	1.68292870
OGLE-LMC-ECL-08506	NC	19.909	1.37144790
OGLE-LMC-ECL-08507	NC	18.362	4.43865650
OGLE-LMC-ECL-08508	NC	19.394	1.92967820
OGLE-LMC-ECL-08509	NC	16.840	2.23538030
OGLE-LMC-ECL-08510	NC	18.198	1.29356490
OGLE-LMC-ECL-08511	NC	19.892	3.67064720
OGLE-LMC-ECL-08512	NC	19.164	24.26085090
OGLE-LMC-ECL-08513	NC	19.459	3.74083450
OGLE-LMC-ECL-08514	NC	19.704	2.43024060
OGLE-LMC-ECL-08515	NC	19.121	3.31778970
OGLE-LMC-ECL-08516	NC	18.696	0.91703250
OGLE-LMC-ECL-08517	NC	19.589	2.88995950
OGLE-LMC-ECL-08518	NC	19.620	1.89442060
OGLE-LMC-ECL-08519	ELL	17.219	9.76825370
OGLE-LMC-ECL-08520	NC	17.901	98.06669840
OGLE-LMC-ECL-08521	NC	19.676	0.88869370
OGLE-LMC-ECL-08522	NC	19.242	1.45010070
OGLE-LMC-ECL-08523	NC	15.966	113.65256090
OGLE-LMC-ECL-08524	NC	18.409	101.28610040
OGLE-LMC-ECL-08525	NC	18.917	3.07853230
OGLE-LMC-ECL-08526	NC	19.604	5.91628070
OGLE-LMC-ECL-08527	NC	19.509	1.49096910
OGLE-LMC-ECL-08528	NC	19.681	1.02935320
OGLE-LMC-ECL-08529	NC	19.379	2.03802650
OGLE-LMC-ECL-08530	NC	19.596	4.21532650
OGLE-LMC-ECL-08531	NC	19.726	2.85317350
OGLE-LMC-ECL-08532	NC	19.124	6.60799920
OGLE-LMC-ECL-08533	NC	17.357	6.35807020
OGLE-LMC-ECL-08534	NC	16.040	2.52949000
OGLE-LMC-ECL-08535	NC	17.905	29.56101770
OGLE-LMC-ECL-08536	NC	19.952	2.17961200
OGLE-LMC-ECL-08537	NC	19.023	3.11795080
OGLE-LMC-ECL-08538	NC	17.496	8.81553020
OGLE-LMC-ECL-08539	NC	19.684	0.86405390
OGLE-LMC-ECL-08540	NC	16.676	1.87503030
OGLE-LMC-ECL-08541	NC	19.353	18.35788050
OGLE-LMC-ECL-08542	NC	16.509	2.56974880
OGLE-LMC-ECL-08543	NC	17.070	25.33875030
OGLE-LMC-ECL-08544	NC	18.599	4.02739210
OGLE-LMC-ECL-08545	NC	19.444	2.31773010
OGLE-LMC-ECL-08546	NC	17.838	4.83516140
OGLE-LMC-ECL-08547	NC	19.238	3.85450920
OGLE-LMC-ECL-08548	NC	16.951	0.79515300
OGLE-LMC-ECL-08549	NC	18.481	1.24887860
OGLE-LMC-ECL-08550	NC	18.619	4.96900010
OGLE-LMC-ECL-08551	NC	19.916	0.86623010
OGLE-LMC-ECL-08552	NC	18.585	2.44887010
OGLE-LMC-ECL-08553	NC	19.295	3.30205350
OGLE-LMC-ECL-08554	NC	18.408	2.19312930
OGLE-LMC-ECL-08555	NC	18.628	2.48001660
OGLE-LMC-ECL-08556	NC	18.118	33.25143090
OGLE-LMC-ECL-08557	NC	18.386	14.11196180
OGLE-LMC-ECL-08558	NC	18.419	5.58772490
OGLE-LMC-ECL-08559	NC	17.555	42.26375080
OGLE-LMC-ECL-08560	NC	17.681	0.83488690
OGLE-LMC-ECL-08561	NC	18.345	14.89979440
OGLE-LMC-ECL-08562	NC	18.182	7.16924060
OGLE-LMC-ECL-08563	NC	18.855	7.05723150
OGLE-LMC-ECL-08564	NC	18.548	5.37652100
OGLE-LMC-ECL-08565	NC	18.115	1.83776170
OGLE-LMC-ECL-08566	NC	16.320	12.48149050
OGLE-LMC-ECL-08567	NC	19.339	5.07085010
OGLE-LMC-ECL-08568	NC	18.316	4.69852480
OGLE-LMC-ECL-08569	NC	19.860	6.39137970
OGLE-LMC-ECL-08570	NC	17.262	3.93835320
OGLE-LMC-ECL-08571	NC	17.208	31.16808440
OGLE-LMC-ECL-08572	NC	19.201	2.15356270
OGLE-LMC-ECL-08573	NC	18.131	7.63432060
OGLE-LMC-ECL-08574	NC	17.913	1.51349970
OGLE-LMC-ECL-08575	NC	19.064	1.27746260
OGLE-LMC-ECL-08576	NC	18.883	2.12301910
OGLE-LMC-ECL-08577	ELL	17.222	1.87670270
OGLE-LMC-ECL-08578	NC	19.419	0.95153140
OGLE-LMC-ECL-08579	NC	19.894	1.11105170
OGLE-LMC-ECL-08580	NC	19.729	0.91286260
OGLE-LMC-ECL-08581	NC	17.877	1.67391280
OGLE-LMC-ECL-08582	NC	17.183	2.20740140
OGLE-LMC-ECL-08583	NC	17.723	3.66377080
OGLE-LMC-ECL-08584	NC	16.616	4.64341530
OGLE-LMC-ECL-08585	NC	18.993	0.77777800
OGLE-LMC-ECL-08586	NC	18.969	7.48566100
OGLE-LMC-ECL-08587	NC	19.170	3.26273030
OGLE-LMC-ECL-08588	NC	19.045	6.14962160
OGLE-LMC-ECL-08589	NC	16.175	1.45586740
OGLE-LMC-ECL-08590	NC	18.390	2.43375640
OGLE-LMC-ECL-08591	NC	19.015	2.84751260
OGLE-LMC-ECL-08592	NC	17.263	70.51915210
OGLE-LMC-ECL-08593	NC	18.691	3.80397060
OGLE-LMC-ECL-08594	NC	19.298	1.97623710
OGLE-LMC-ECL-08595	NC	18.422	1.65717920
OGLE-LMC-ECL-08596	NC	19.956	1.44377040
OGLE-LMC-ECL-08597	NC	19.804	4.59941350
OGLE-LMC-ECL-08598	NC	18.752	1.79429020
OGLE-LMC-ECL-08599	NC	19.088	1.90820220
OGLE-LMC-ECL-08600	NC	18.598	1.16501400
OGLE-LMC-ECL-08601	NC	19.289	6.21490010
OGLE-LMC-ECL-08602	NC	16.110	99.35881040
OGLE-LMC-ECL-08603	NC	15.372	168.14878970
OGLE-LMC-ECL-08604	NC	17.244	3.10542920
OGLE-LMC-ECL-08605	NC	18.632	10.68980390
OGLE-LMC-ECL-08606	ELL	17.119	1.52721520
OGLE-LMC-ECL-08607	NC	15.336	6.30664030
OGLE-LMC-ECL-08608	NC	19.674	2.82830840
OGLE-LMC-ECL-08609	NC	18.084	2.32799880
OGLE-LMC-ECL-08610	NC	18.834	4.88709800
OGLE-LMC-ECL-08611	NC	19.978	3.05816100
OGLE-LMC-ECL-08612	NC	16.205	27.08623060
OGLE-LMC-ECL-08613	NC	19.577	3.06249070
OGLE-LMC-ECL-08614	NC	18.940	0.80617510
OGLE-LMC-ECL-08615	NC	18.742	1.99684480
OGLE-LMC-ECL-08616	NC	19.640	0.92149220
OGLE-LMC-ECL-08617	NC	19.789	2.23128360
OGLE-LMC-ECL-08618	NC	15.896	106.68986210
OGLE-LMC-ECL-08619	NC	19.341	6.95729600
OGLE-LMC-ECL-08620	NC	18.177	1.06981090
OGLE-LMC-ECL-08621	NC	19.874	1.43002070
OGLE-LMC-ECL-08622	NC	18.878	2.08659350
OGLE-LMC-ECL-08623	NC	18.111	2.95218030
OGLE-LMC-ECL-08624	NC	19.278	1.75132270
OGLE-LMC-ECL-08625	NC	18.364	1.15181530
OGLE-LMC-ECL-08626	NC	19.878	3.04980880
OGLE-LMC-ECL-08627	NC	17.009	149.35721080
OGLE-LMC-ECL-08628	NC	17.362	1.77842650
OGLE-LMC-ECL-08629	NC	19.787	8.53130100
OGLE-LMC-ECL-08630	NC	18.487	2.95041300
OGLE-LMC-ECL-08631	NC	19.226	2.96014290
OGLE-LMC-ECL-08632	NC	18.348	2.47426250
OGLE-LMC-ECL-08633	NC	19.153	7.72937080
OGLE-LMC-ECL-08634	NC	18.006	5.12844520
OGLE-LMC-ECL-08635	NC	19.478	2.31378580
OGLE-LMC-ECL-08636	NC	19.428	3.24737740
OGLE-LMC-ECL-08637	NC	17.887	82.86924110
OGLE-LMC-ECL-08638	NC	17.569	4.65901080
OGLE-LMC-ECL-08639	NC	19.950	3.01207090
OGLE-LMC-ECL-08640	NC	18.310	1.33709160
OGLE-LMC-ECL-08641	NC	17.285	2.86922500
OGLE-LMC-ECL-08642	NC	19.139	4.01458270
OGLE-LMC-ECL-08643	NC	18.401	4.09541380
OGLE-LMC-ECL-08644	NC	19.189	3.09673850
OGLE-LMC-ECL-08645	NC	18.712	2.63034400
OGLE-LMC-ECL-08646	NC	17.979	5.76602680
OGLE-LMC-ECL-08647	NC	16.867	1.05081410
OGLE-LMC-ECL-08648	NC	18.494	8.19665920
OGLE-LMC-ECL-08649	NC	18.079	4.50706120
OGLE-LMC-ECL-08650	NC	18.419	1.94743750
OGLE-LMC-ECL-08652	NC	18.868	3.56562020
OGLE-LMC-ECL-08653	NC	18.516	0.80749620
OGLE-LMC-ECL-08654	NC	15.187	2.81720200
OGLE-LMC-ECL-08656	NC	18.610	1.57437560
OGLE-LMC-ECL-08657	NC	18.031	16.36696860
OGLE-LMC-ECL-08658	NC	19.333	2.42351220
OGLE-LMC-ECL-08659	NC	18.577	1.23263430
OGLE-LMC-ECL-08660	NC	18.148	4.15320750
OGLE-LMC-ECL-08661	NC	18.820	3.39203090
OGLE-LMC-ECL-08662	ELL	16.474	42.72690940
OGLE-LMC-ECL-08663	NC	18.191	3.88363560
OGLE-LMC-ECL-08664	NC	17.953	21.42508880
OGLE-LMC-ECL-08665	NC	17.343	49.06370080
OGLE-LMC-ECL-08666	NC	18.686	54.39329590
OGLE-LMC-ECL-08667	NC	16.750	10.86126430
OGLE-LMC-ECL-08668	NC	18.514	4.92087000
OGLE-LMC-ECL-08669	NC	20.037	1.63206820
OGLE-LMC-ECL-08670	NC	18.420	16.15898810
OGLE-LMC-ECL-08671	NC	18.577	9.24091930
OGLE-LMC-ECL-08672	NC	19.301	1.23951860
OGLE-LMC-ECL-08673	NC	19.822	2.40715810
OGLE-LMC-ECL-08674	NC	17.028	1.51557590
OGLE-LMC-ECL-08675	NC	19.324	3.79074290
OGLE-LMC-ECL-08676	NC	18.547	3.19701080
OGLE-LMC-ECL-08677	NC	17.882	1.20263540
OGLE-LMC-ECL-08678	NC	18.298	2.31259310
OGLE-LMC-ECL-08679	NC	17.666	340.26028080
OGLE-LMC-ECL-08680	NC	19.660	2.50374860
OGLE-LMC-ECL-08681	NC	18.503	0.86036400
OGLE-LMC-ECL-08682	NC	14.585	236.83905550
OGLE-LMC-ECL-08683	NC	19.037	3.55099070
OGLE-LMC-ECL-08684	NC	17.196	3.44568070
OGLE-LMC-ECL-08685	NC	17.596	6.44651060
OGLE-LMC-ECL-08686	NC	18.446	1.12890030
OGLE-LMC-ECL-08687	NC	19.297	8.51992380
OGLE-LMC-ECL-08688	NC	19.379	12.49439010
OGLE-LMC-ECL-08689	NC	13.606	423.54118180
OGLE-LMC-ECL-08690	NC	17.634	8.48481310
OGLE-LMC-ECL-08692	NC	19.379	1.79551790
OGLE-LMC-ECL-08693	NC	17.255	3.58408870
OGLE-LMC-ECL-08694	NC	15.042	0.73746370
OGLE-LMC-ECL-08695	NC	19.434	3.61345720
OGLE-LMC-ECL-08696	NC	19.672	3.43710620
OGLE-LMC-ECL-08697	NC	18.531	7.52636410
OGLE-LMC-ECL-08698	NC	19.477	3.17686960
OGLE-LMC-ECL-08699	NC	18.796	4.30110740
OGLE-LMC-ECL-08700	NC	19.185	6.49969960
OGLE-LMC-ECL-08701	NC	18.406	13.37982740
OGLE-LMC-ECL-08702	NC	18.554	2.66074780
OGLE-LMC-ECL-08703	NC	18.323	18.89482490
OGLE-LMC-ECL-08704	NC	18.419	0.73851020
OGLE-LMC-ECL-08705	NC	19.475	1.11533860
OGLE-LMC-ECL-08706	NC	18.937	30.24723520
OGLE-LMC-ECL-08707	NC	18.184	1.04240020
OGLE-LMC-ECL-08708	NC	19.766	1.97737790
OGLE-LMC-ECL-08709	NC	19.092	2.46370870
OGLE-LMC-ECL-08710	NC	18.733	2.66452820
OGLE-LMC-ECL-08711	NC	19.759	5.19639020
OGLE-LMC-ECL-08712	NC	18.680	3.88305300
OGLE-LMC-ECL-08713	NC	16.974	80.21723110
OGLE-LMC-ECL-08714	NC	19.453	1.96798630
OGLE-LMC-ECL-08715	NC	18.001	238.49789040
OGLE-LMC-ECL-08716	NC	19.129	1.74017890
OGLE-LMC-ECL-08717	NC	18.156	1.13671510
OGLE-LMC-ECL-08718	NC	19.260	42.55238260
OGLE-LMC-ECL-08719	NC	18.935	1.44103460
OGLE-LMC-ECL-08720	NC	18.439	1.85121220
OGLE-LMC-ECL-08721	NC	15.447	4.53511480
OGLE-LMC-ECL-08722	NC	18.576	3.76871400
OGLE-LMC-ECL-08723	NC	18.828	0.97958880
OGLE-LMC-ECL-08724	NC	19.629	1.87244070
OGLE-LMC-ECL-08725	NC	19.574	7.59134060
OGLE-LMC-ECL-08726	NC	19.971	1.65798500
OGLE-LMC-ECL-08727	NC	16.602	3.84867560
OGLE-LMC-ECL-08728	NC	19.026	1.31985040
OGLE-LMC-ECL-08729	NC	19.741	4.42189920
OGLE-LMC-ECL-08730	NC	18.755	1.94869010
OGLE-LMC-ECL-08731	NC	19.164	6.56387040
OGLE-LMC-ECL-08732	NC	18.648	7.09580340
OGLE-LMC-ECL-08733	NC	17.328	0.37359550
OGLE-LMC-ECL-08734	NC	15.179	7.02526470
OGLE-LMC-ECL-08735	NC	19.395	6.10891110
OGLE-LMC-ECL-08736	NC	19.203	2.21762470
OGLE-LMC-ECL-08737	NC	17.843	15.80733680
OGLE-LMC-ECL-08738	NC	18.101	2.39414560
OGLE-LMC-ECL-08739	NC	19.618	3.17592050
OGLE-LMC-ECL-08740	NC	18.792	2.38940230
OGLE-LMC-ECL-08741	NC	19.850	1.86743280
OGLE-LMC-ECL-08742	NC	19.391	2.82511090
OGLE-LMC-ECL-08743	ELL	15.974	16.63636570
OGLE-LMC-ECL-08744	NC	17.037	1.82797740
OGLE-LMC-ECL-08745	NC	17.599	1.48573530
OGLE-LMC-ECL-08746	NC	17.583	10.63100680
OGLE-LMC-ECL-08747	NC	18.568	1.21446450
OGLE-LMC-ECL-08748	NC	19.204	7.17495920
OGLE-LMC-ECL-08749	NC	19.468	3.16246080
OGLE-LMC-ECL-08750	NC	18.034	4.31900910
OGLE-LMC-ECL-08751	NC	17.682	3.56051890
OGLE-LMC-ECL-08752	NC	14.923	2.67882200
OGLE-LMC-ECL-08753	NC	15.604	1.69703070
OGLE-LMC-ECL-08754	NC	18.948	3.36702280
OGLE-LMC-ECL-08755	NC	18.242	3.61940070
OGLE-LMC-ECL-08756	NC	15.749	204.88175040
OGLE-LMC-ECL-08757	NC	18.963	1.09017460
OGLE-LMC-ECL-08758	NC	18.680	4.99083780
OGLE-LMC-ECL-08759	NC	16.768	14.51397000
OGLE-LMC-ECL-08760	NC	18.541	11.76286210
OGLE-LMC-ECL-08761	NC	18.712	1.94835570
OGLE-LMC-ECL-08762	NC	18.834	4.07634810
OGLE-LMC-ECL-08763	NC	15.296	91.34717270
OGLE-LMC-ECL-08764	NC	16.853	1.75814010
OGLE-LMC-ECL-08765	C	18.425	0.42025630
OGLE-LMC-ECL-08766	NC	19.632	1.26833880
OGLE-LMC-ECL-08767	NC	18.655	7.83896550
OGLE-LMC-ECL-08768	NC	18.233	1.47873020
OGLE-LMC-ECL-08769	NC	17.578	77.46647040
OGLE-LMC-ECL-08770	NC	18.448	25.66659060
OGLE-LMC-ECL-08772	NC	17.880	2.00774650
OGLE-LMC-ECL-08773	NC	19.163	2.40139410
OGLE-LMC-ECL-08774	NC	18.019	1.02770030
OGLE-LMC-ECL-08775	NC	15.901	3.03771950
OGLE-LMC-ECL-08776	NC	19.260	2.19317050
OGLE-LMC-ECL-08777	NC	19.679	6.93654260
OGLE-LMC-ECL-08778	NC	16.845	2.72661480
OGLE-LMC-ECL-08779	NC	18.873	7.04299020
OGLE-LMC-ECL-08780	NC	19.749	4.46077020
OGLE-LMC-ECL-08781	NC	18.668	7.04507030
OGLE-LMC-ECL-08782	NC	18.047	4.23793690
OGLE-LMC-ECL-08783	NC	17.432	48.72455050
OGLE-LMC-ECL-08784	NC	15.725	1.46291070
OGLE-LMC-ECL-08785	NC	20.110	3.51166750
OGLE-LMC-ECL-08786	NC	19.144	5.01152050
OGLE-LMC-ECL-08787	NC	16.601	1.26805780
OGLE-LMC-ECL-08788	NC	18.688	8.50604050
OGLE-LMC-ECL-08789	NC	19.152	4.33161820
OGLE-LMC-ECL-08790	NC	17.403	3.40186720
OGLE-LMC-ECL-08791	NC	18.696	6.15876180
OGLE-LMC-ECL-08792	NC	14.326	304.79120020
OGLE-LMC-ECL-08793	NC	17.810	2.09964740
OGLE-LMC-ECL-08794	NC	17.216	3.29101050
OGLE-LMC-ECL-08795	NC	19.066	1.55059590
OGLE-LMC-ECL-08796	NC	17.037	5.57836930
OGLE-LMC-ECL-08797	NC	19.887	1.89930500
OGLE-LMC-ECL-08798	NC	17.523	52.08437370
OGLE-LMC-ECL-08799	NC	18.741	1.14976680
OGLE-LMC-ECL-08800	NC	16.994	1.81228350
OGLE-LMC-ECL-08801	NC	18.337	0.58662350
OGLE-LMC-ECL-08802	NC	19.087	0.65756920
OGLE-LMC-ECL-08803	NC	19.175	1.49684040
OGLE-LMC-ECL-08804	NC	18.326	21.53050070
OGLE-LMC-ECL-08805	NC	16.706	86.07692550
