# Date:     2026-03-27 03:15:44
# Database: ocvs
# Target:   lmc_ecl
# Query:    TRUE  LIMIT 50000
# Objects:  40204
# Columns:
ID	Type	I	P
OGLE-LMC-ECL-00109	NC	18.059	19.00922550
OGLE-LMC-ECL-00110	NC	18.269	1.87873100
OGLE-LMC-ECL-00111	NC	16.079	7.83730090
OGLE-LMC-ECL-00112	NC	19.421	6.63925360
OGLE-LMC-ECL-00113	NC	17.471	73.91150270
OGLE-LMC-ECL-00114	NC	18.378	11.45171100
OGLE-LMC-ECL-00115	NC	19.353	4.53601650
OGLE-LMC-ECL-00116	NC	18.403	6.03062020
OGLE-LMC-ECL-00117	NC	18.940	3.08600130
OGLE-LMC-ECL-00118	NC	17.959	1.09183380
OGLE-LMC-ECL-00119	NC	19.648	3.42002000
OGLE-LMC-ECL-00120	NC	19.501	6.37109730
OGLE-LMC-ECL-00121	NC	17.923	5.41992090
OGLE-LMC-ECL-00122	NC	17.916	31.17032040
OGLE-LMC-ECL-00123	NC	14.937	0.45946090
OGLE-LMC-ECL-00124	NC	18.433	175.19105890
OGLE-LMC-ECL-00125	NC	16.725	4.32547100
OGLE-LMC-ECL-00126	NC	19.692	1.47334400
OGLE-LMC-ECL-00127	NC	17.609	1.97166020
OGLE-LMC-ECL-00128	NC	20.004	2.29837950
OGLE-LMC-ECL-00129	NC	19.657	1.44874120
OGLE-LMC-ECL-00130	NC	19.669	2.16160680
OGLE-LMC-ECL-00131	NC	18.889	6.35860450
OGLE-LMC-ECL-00132	NC	18.044	146.73382570
OGLE-LMC-ECL-00133	NC	19.554	4.20993020
OGLE-LMC-ECL-00134	NC	19.942	3.71168850
OGLE-LMC-ECL-00135	NC	19.904	1.20406890
OGLE-LMC-ECL-00136	NC	17.119	4.21850790
OGLE-LMC-ECL-00137	NC	17.806	1.84155890
OGLE-LMC-ECL-00138	NC	17.584	3.38756040
OGLE-LMC-ECL-00139	NC	18.340	5.05848830
OGLE-LMC-ECL-00140	NC	19.202	4.92745020
OGLE-LMC-ECL-00141	NC	19.076	1.19030830
OGLE-LMC-ECL-00142	NC	20.103	2.30134630
OGLE-LMC-ECL-00143	NC	19.381	2.25536860
OGLE-LMC-ECL-00144	NC	19.097	6.77056540
OGLE-LMC-ECL-00145	NC	19.242	30.12958590
OGLE-LMC-ECL-00146	NC	16.664	372.13302360
OGLE-LMC-ECL-00147	NC	18.694	27.33834650
OGLE-LMC-ECL-00148	NC	18.889	2.11263990
OGLE-LMC-ECL-00149	NC	17.818	17.52241680
OGLE-LMC-ECL-00150	NC	18.527	0.59747570
OGLE-LMC-ECL-00151	ELL	18.841	0.99029200
OGLE-LMC-ECL-00152	NC	19.584	2.97490040
OGLE-LMC-ECL-00153	NC	19.512	4.79352800
OGLE-LMC-ECL-00154	NC	18.161	1.04124760
OGLE-LMC-ECL-00155	NC	19.337	3.05043090
OGLE-LMC-ECL-00157	NC	19.325	2.78447930
OGLE-LMC-ECL-00158	NC	19.781	7.28978030
OGLE-LMC-ECL-00159	C	17.539	21.97065240
OGLE-LMC-ECL-00160	NC	17.829	4.60361220
OGLE-LMC-ECL-00161	NC	17.503	12.95822300
OGLE-LMC-ECL-00162	NC	19.824	0.85405530
OGLE-LMC-ECL-00163	NC	18.328	2.50310070
OGLE-LMC-ECL-00164	NC	17.500	1.56016080
OGLE-LMC-ECL-00165	NC	19.396	3.34128290
OGLE-LMC-ECL-00166	NC	18.854	3.31868430
OGLE-LMC-ECL-00167	NC	18.440	3.02894060
OGLE-LMC-ECL-00168	ELL	15.847	204.12353070
OGLE-LMC-ECL-00169	NC	17.027	2.64146310
OGLE-LMC-ECL-00170	NC	17.095	26.37171080
OGLE-LMC-ECL-00171	NC	17.407	41.46652140
OGLE-LMC-ECL-00172	NC	19.353	4.70592020
OGLE-LMC-ECL-00173	NC	18.349	14.83241160
OGLE-LMC-ECL-00174	NC	19.149	5.78509960
OGLE-LMC-ECL-00175	NC	19.338	2.97299260
OGLE-LMC-ECL-00176	NC	13.972	3.45819320
OGLE-LMC-ECL-00177	NC	19.350	0.77738530
OGLE-LMC-ECL-00178	NC	19.355	5.72592390
OGLE-LMC-ECL-00179	NC	17.907	5.75801040
OGLE-LMC-ECL-00180	NC	18.918	3.35584060
OGLE-LMC-ECL-00181	NC	19.440	6.29387990
OGLE-LMC-ECL-00182	NC	19.513	1.35195680
OGLE-LMC-ECL-00183	NC	19.879	2.15352680
OGLE-LMC-ECL-00184	NC	19.623	3.45778400
OGLE-LMC-ECL-00185	NC	18.055	1.16592100
OGLE-LMC-ECL-00186	NC	19.680	3.44357130
OGLE-LMC-ECL-00187	NC	19.091	2.75960370
OGLE-LMC-ECL-00188	NC	19.879	1.88117860
OGLE-LMC-ECL-00189	NC	17.858	1.96581060
OGLE-LMC-ECL-00190	NC	18.543	1.57114560
OGLE-LMC-ECL-00191	NC	19.917	1.93927070
OGLE-LMC-ECL-00192	NC	17.795	1.30610930
OGLE-LMC-ECL-00193	NC	17.963	95.76317250
OGLE-LMC-ECL-00194	NC	17.781	90.70046830
OGLE-LMC-ECL-00195	NC	18.941	1.92104670
OGLE-LMC-ECL-00196	NC	19.778	3.82677440
OGLE-LMC-ECL-00197	NC	19.415	13.83037760
OGLE-LMC-ECL-00198	NC	19.681	2.89867610
OGLE-LMC-ECL-00199	NC	15.798	148.68305000
OGLE-LMC-ECL-00200	NC	19.510	0.92767640
OGLE-LMC-ECL-00201	NC	17.276	2.15810880
OGLE-LMC-ECL-00202	NC	19.780	2.07842020
OGLE-LMC-ECL-00203	NC	19.806	1.53261560
OGLE-LMC-ECL-00204	NC	18.822	105.28870080
OGLE-LMC-ECL-00205	NC	18.252	2.80455010
OGLE-LMC-ECL-00206	NC	18.937	12.91795150
OGLE-LMC-ECL-00207	NC	18.514	13.65359400
OGLE-LMC-ECL-00208	NC	19.276	2.54732450
OGLE-LMC-ECL-00209	NC	18.546	8.30800030
OGLE-LMC-ECL-00210	NC	17.926	3.92743000
OGLE-LMC-ECL-00211	NC	18.447	6.73850850
OGLE-LMC-ECL-00212	NC	19.825	2.97053040
OGLE-LMC-ECL-00213	NC	18.436	3.54395920
OGLE-LMC-ECL-00214	NC	19.281	23.13638190
OGLE-LMC-ECL-00215	ELL	18.219	69.26734230
OGLE-LMC-ECL-00216	NC	19.195	3.49416880
OGLE-LMC-ECL-00217	NC	17.003	10.39875680
OGLE-LMC-ECL-00218	NC	18.922	2.41365740
OGLE-LMC-ECL-00219	NC	17.493	49.91080030
OGLE-LMC-ECL-00220	NC	18.663	7.22755070
OGLE-LMC-ECL-00221	NC	17.470	0.97907300
OGLE-LMC-ECL-00222	NC	18.516	11.50821030
OGLE-LMC-ECL-00223	NC	19.012	3.88379660
OGLE-LMC-ECL-00224	NC	19.723	4.60788560
OGLE-LMC-ECL-00225	NC	19.502	10.48367000
OGLE-LMC-ECL-00226	NC	18.170	4.00645570
OGLE-LMC-ECL-00227	NC	17.021	10.30496850
OGLE-LMC-ECL-00228	NC	19.614	3.53443040
OGLE-LMC-ECL-00229	NC	19.682	2.19077460
OGLE-LMC-ECL-00230	NC	18.086	1.70501320
OGLE-LMC-ECL-00231	NC	18.882	7.96713990
OGLE-LMC-ECL-00232	NC	18.723	3.61882410
OGLE-LMC-ECL-00233	NC	18.481	9.72718080
OGLE-LMC-ECL-00234	NC	18.656	119.25514320
OGLE-LMC-ECL-00235	NC	17.930	21.98202240
OGLE-LMC-ECL-00236	NC	18.875	0.64949080
OGLE-LMC-ECL-00237	NC	18.200	113.50505470
OGLE-LMC-ECL-00238	NC	19.245	7.25691220
OGLE-LMC-ECL-00239	C	13.894	0.35768210
OGLE-LMC-ECL-00240	NC	19.530	2.81656940
