archivo,id,best_period,min_entropy,n_puntos
1.dat,1,378.8727345469094,1.5347500829493157,382
2.dat,2,379.37243448689736,1.0869067256376683,382
5.dat,5,368.07921584316864,1.702089214845772,382
6.dat,6,379.37243448689736,1.2863338790742227,382
8.dat,8,379.6722544508902,1.7258199724331873,382
